ID,name,position,age,nationality,market_value
t1,Erling Haaland,Centre-Forward,24,Norway,€200.00m
t2,Vinicius Junior,Left Winger,24,Brazil,€200.00m
t3,Lamine Yamal,Right Winger,17,Spain,€180.00m
t4,Jude Bellingham,Attacking Midfield,21,England,€180.00m
t5,Kylian Mbappé,Centre-Forward,26,France,€160.00m
t6,Bukayo Saka,Right Winger,23,England,€150.00m
t7,Florian Wirtz,Attacking Midfield,21,Germany,€140.00m
t8,Jamal Musiala,Attacking Midfield,22,Germany,€140.00m
t9,Phil Foden,Right Winger,24,England,€140.00m
t10,Cole Palmer,Attacking Midfield,22,England,€130.00m
t11,Federico Valverde,Central Midfield,26,Uruguay,€130.00m
t12,Rodri,Defensive Midfield,28,Spain,€130.00m
t13,Declan Rice,Central Midfield,26,England,€110.00m
t14,Martin Ødegaard,Attacking Midfield,26,Norway,€110.00m
t15,Pedri,Central Midfield,22,Spain,€100.00m
t16,Rodrygo,Right Winger,24,Brazil,€100.00m
t17,Lautaro Martínez,Centre-Forward,27,Argentina,€100.00m
t18,Harry Kane,Centre-Forward,31,England,€90.00m
t19,Khvicha Kvaratskhelia,Left Winger,24,Georgia,€85.00m
t20,Luis Díaz,Left Winger,28,Colombia,€85.00m
t21,Moisés Caicedo,Defensive Midfield,23,Ecuador,€80.00m
t22,Gavi,Central Midfield,20,Spain,€80.00m
t23,Eduardo Camavinga,Central Midfield,22,France,€80.00m
t24,Julián Alvarez,Centre-Forward,25,Argentina,€80.00m
t25,Xavi Simons,Attacking Midfield,21,Netherlands,€80.00m
t26,Alexis Mac Allister,Central Midfield,26,Argentina,€80.00m
t27,Bruno Guimarães,Defensive Midfield,27,Brazil,€80.00m
t28,William Saliba,Centre-Back,23,France,€80.00m
t29,Aurélien Tchouaméni,Defensive Midfield,25,France,€80.00m
t30,Raphinha,Left Winger,28,Brazil,€80.00m
t31,Nicolò Barella,Central Midfield,28,Italy,€80.00m
t32,Enzo Fernández,Central Midfield,24,Argentina,€75.00m
t33,Josko Gvardiol,Left-Back,23,Croatia,€75.00m
t34,Dominik Szoboszlai,Central Midfield,24,Hungary,€75.00m
t35,Gabriel Magalhães,Centre-Back,27,Brazil,€75.00m
t36,Victor Osimhen,Centre-Forward,26,Nigeria,€75.00m
t37,Rafael Leão,Left Winger,25,Portugal,€75.00m
t38,Alexander Isak,Centre-Forward,25,Sweden,€75.00m
t39,Viktor Gyökeres,Centre-Forward,26,Sweden,€75.00m
t40,Marcus Thuram,Centre-Forward,27,France,€75.00m
t41,Alessandro Bastoni,Centre-Back,25,Italy,€75.00m
t42,Trent Alexander-Arnold,Right-Back,26,England,€75.00m
t43,Kai Havertz,Centre-Forward,25,Germany,€75.00m
t44,Rúben Dias,Centre-Back,27,Portugal,€75.00m
t45,Pau Cubarsí,Centre-Back,18,Spain,€70.00m
t46,Nico Williams,Left Winger,22,Spain,€70.00m
t47,Bradley Barcola,Left Winger,22,France,€65.00m
t48,Michael Olise,Right Winger,23,France,€65.00m
t49,Darwin Núñez,Centre-Forward,25,Uruguay,€65.00m
t50,Cristian Romero,Centre-Back,26,Argentina,€65.00m
t51,Warren Zaïre-Emery,Central Midfield,18,France,€60.00m
t52,João Neves,Defensive Midfield,20,Portugal,€60.00m
t53,Rasmus Højlund,Centre-Forward,22,Denmark,€60.00m
t54,Bremer,Centre-Back,27,Brazil,€60.00m
t55,Anthony Gordon,Left Winger,24,England,€60.00m
t56,Jérémy Doku,Left Winger,22,Belgium,€60.00m
t57,Omar Marmoush,Centre-Forward,26,Egypt,€60.00m
t58,Cody Gakpo,Left Winger,25,Netherlands,€60.00m
t59,Dejan Kulusevski,Attacking Midfield,24,Sweden,€60.00m
t60,Martín Zubimendi,Defensive Midfield,26,Spain,€60.00m
t61,Jules Koundé,Right-Back,26,France,€60.00m
t62,Achraf Hakimi,Right-Back,26,Morocco,€60.00m
t63,Loïs Openda,Centre-Forward,25,Belgium,€60.00m
t64,Dušan Vlahović,Centre-Forward,25,Serbia,€60.00m
t65,James Maddison,Attacking Midfield,28,England,€60.00m
t66,Dani Olmo,Attacking Midfield,26,Spain,€60.00m
t67,Bernardo Silva,Attacking Midfield,30,Portugal,€60.00m
t68,Federico Dimarco,Left-Back,27,Italy,€60.00m
t69,Leny Yoro,Centre-Back,19,France,€55.00m
t70,Kobbie Mainoo,Central Midfield,19,England,€55.00m
t71,Nicolas Jackson,Centre-Forward,23,Senegal,€55.00m
t72,Savinho,Right Winger,20,Brazil,€55.00m
t73,Gabriel Martinelli,Left Winger,23,Brazil,€55.00m
t74,Nuno Mendes,Left-Back,22,Portugal,€55.00m
t75,Levi Colwill,Centre-Back,22,England,€55.00m
t76,Micky van de Ven,Centre-Back,23,Netherlands,€55.00m
t77,Vitinha,Central Midfield,25,Portugal,€55.00m
t78,Pedro Neto,Right Winger,24,Portugal,€55.00m
t79,Amadou Onana,Defensive Midfield,23,Belgium,€55.00m
t80,Ronald Araujo,Centre-Back,25,Uruguay,€55.00m
t81,Eberechi Eze,Attacking Midfield,26,England,€55.00m
t82,Ryan Gravenberch,Defensive Midfield,22,Netherlands,€55.00m
t83,Ademola Lookman,Second Striker,27,Nigeria,€55.00m
t84,Ben White,Right-Back,27,England,€55.00m
t85,Ollie Watkins,Centre-Forward,29,England,€55.00m
t86,Ousmane Dembélé,Right Winger,27,France,€55.00m
t87,Marcus Rashford,Left Winger,27,England,€55.00m
t88,Bruno Fernandes,Attacking Midfield,30,Portugal,€55.00m
t89,Mohamed Salah,Right Winger,32,Egypt,€55.00m
t90,Estêvão,Right Winger,17,Brazil,€50.00m
t91,Murillo,Centre-Back,22,Brazil,€50.00m
t92,Samu Aghehowa,Centre-Forward,20,Spain,€50.00m
t93,Alejandro Garnacho,Left Winger,20,Argentina,€50.00m
t94,Aleksandar Pavlovic,Defensive Midfield,20,Germany,€50.00m
t95,Pablo Barrios,Central Midfield,21,Spain,€50.00m
t96,Jamie Gittens,Left Winger,20,England,€50.00m
t97,Fermín López,Central Midfield,21,Spain,€50.00m
t98,Alejandro Balde,Left-Back,21,Spain,€50.00m
t99,Benjamin Sesko,Centre-Forward,21,Slovenia,€50.00m
t100,João Pedro,Centre-Forward,23,Brazil,€50.00m
t101,Castello Lukeba,Centre-Back,22,France,€50.00m
t102,Éderson,Central Midfield,25,Brazil,€50.00m
t103,Oihan Sancet,Attacking Midfield,24,Spain,€50.00m
t104,Gonçalo Ramos,Centre-Forward,23,Portugal,€50.00m
t105,Álex Baena,Left Winger,23,Spain,€50.00m
t106,Mohammed Kudus,Right Winger,24,Ghana,€50.00m
t107,Matheus Cunha,Centre-Forward,25,Brazil,€50.00m
t108,Jeremie Frimpong,Right Midfield,24,Netherlands,€50.00m
t109,Lisandro Martínez,Centre-Back,27,Argentina,€50.00m
t110,Manuel Ugarte,Defensive Midfield,23,Uruguay,€50.00m
t111,Brennan Johnson,Right Winger,23,Wales,€50.00m
t112,Tijjani Reijnders,Central Midfield,26,Netherlands,€50.00m
t113,Alphonso Davies,Left-Back,24,Canada,€50.00m
t114,Bryan Mbeumo,Right Winger,25,Cameroon,€50.00m
t115,Teun Koopmeiners,Attacking Midfield,27,Netherlands,€50.00m
t116,Ibrahima Konaté,Centre-Back,25,France,€50.00m
t117,Dayot Upamecano,Centre-Back,26,France,€50.00m
t118,Christopher Nkunku,Centre-Forward,27,France,€50.00m
t119,Diogo Jota,Centre-Forward,28,Portugal,€50.00m
t120,Theo Hernández,Left-Back,27,France,€50.00m
t121,Christian Pulisic,Right Winger,26,United States,€50.00m
t122,Joshua Kimmich,Defensive Midfield,30,Germany,€50.00m
t123,Arda Güler,Right Winger,20,Türkiye,€45.00m
t124,Kenan Yıldız,Left Winger,19,Türkiye,€45.00m
t125,Victor Boniface,Centre-Forward,24,Nigeria,€45.00m
t126,Giorgio Scalvini,Centre-Back,21,Italy,€45.00m
t127,Pape Matar Sarr,Central Midfield,22,Senegal,€45.00m
t128,Destiny Udogie,Left-Back,22,Italy,€45.00m
t129,Pedro Porro,Right-Back,25,Spain,€45.00m
t130,Gonçalo Inácio,Centre-Back,23,Portugal,€45.00m
t131,Jonathan David,Centre-Forward,25,Canada,€45.00m
t132,Kaoru Mitoma,Left Winger,27,Japan,€45.00m
t133,Min-jae Kim,Centre-Back,28,"Korea, South",€45.00m
t134,Riccardo Calafiori,Left-Back,22,Italy,€45.00m
t135,Morten Hjulmand,Defensive Midfield,25,Denmark,€45.00m
t136,Douglas Luiz,Central Midfield,26,Brazil,€45.00m
t137,Curtis Jones,Central Midfield,24,England,€45.00m
t138,Jurrien Timber,Right-Back,23,Netherlands,€45.00m
t139,Pau Torres,Centre-Back,28,Spain,€45.00m
t140,Marc Guéhi,Centre-Back,24,England,€45.00m
t141,Alessandro Buongiorno,Centre-Back,25,Italy,€45.00m
t142,Gabriel Jesus,Centre-Forward,27,Brazil,€45.00m
t143,Sven Botman,Centre-Back,25,Netherlands,€45.00m
t144,Mikel Merino,Central Midfield,28,Spain,€45.00m
t145,Frenkie de Jong,Central Midfield,27,Netherlands,€45.00m
t146,Matthijs de Ligt,Centre-Back,25,Netherlands,€45.00m
t147,Jarrod Bowen,Right Winger,28,England,€45.00m
t148,Dominic Solanke,Centre-Forward,27,England,€45.00m
t149,Jack Grealish,Left Winger,29,England,€45.00m
t150,Leroy Sané,Right Winger,29,Germany,€45.00m
t151,Jarrad Branthwaite,Centre-Back,22,England,€42.00m
t152,Enzo Millot,Attacking Midfield,22,France,€42.00m
t153,Joshua Zirkzee,Centre-Forward,23,Netherlands,€42.00m
t154,Ousmane Diomande,Centre-Back,21,Cote d'Ivoire,€40.00m
t155,Endrick,Centre-Forward,18,Brazil,€40.00m
t156,Désiré Doué,Left Winger,19,France,€40.00m
t157,Maghnes Akliouche,Right Winger,23,France,€40.00m
t158,João Gomes,Central Midfield,24,Brazil,€40.00m
t159,Hugo Ekitiké,Centre-Forward,22,France,€40.00m
t160,Rico Lewis,Right-Back,20,England,€40.00m
t161,Willian Pacho,Centre-Back,23,Ecuador,€40.00m
t162,Piero Hincapié,Centre-Back,23,Ecuador,€40.00m
t163,Jhon Durán,Centre-Forward,21,Colombia,€40.00m
t164,Evan Ferguson,Centre-Forward,20,Ireland,€40.00m
t165,Roméo Lavia,Defensive Midfield,21,Belgium,€40.00m
t166,Matheus Nunes,Central Midfield,26,Portugal,€40.00m
t167,Johan Bakayoko,Right Winger,21,Belgium,€40.00m
