ID,name,position,age,nationality,current_club,matches_played
f1,Max Aarons,DF,25,eng ENG,Bournemouth,3
f2,Max Aarons,MF,25,eng ENG,Valencia,1
f3,Rodrigo Abajas,DF,21,es ESP,Valencia,1
f4,James Abankwah,"DF,MF",21,ie IRL,Udinese,6
f5,Keyliane Abdallah,FW,18,fr FRA,Marseille,1
f6,Yunis Abdelhamid,DF,37,ma MAR,Saint-Étienne,12
f7,Himad Abdelli,"MF,FW",25,dz ALG,Angers,21
f8,Mohamed Abdelmoneim,DF,26,eg EGY,Nice,9
f9,Ali Abdi,"DF,MF",31,tn TUN,Nice,13
f10,Saud Abdulhamid,DF,25,sa KSA,Roma,3
f11,Abel,DF,24,es ESP,Osasuna,22
f12,Nabil Aberdin,MF,22,fr FRA,Getafe,7
f13,Oliver Abildgaard,MF,28,dk DEN,Como,1
f14,Matthis Abline,FW,21,fr FRA,Nantes,21
f15,Abner,DF,24,br BRA,Lyon,13
f16,Zakaria Aboukhlal,"MF,FW",24,ma MAR,Toulouse,21
f17,Abdel Abqar,DF,25,ma MAR,Alavés,21
f18,Tammy Abraham,FW,27,eng ENG,Roma,1
f19,Tammy Abraham,FW,27,eng ENG,Milan,18
f20,Federico Accornero,MF,21,it ITA,Genoa,1
f21,Francesco Acerbi,DF,37,it ITA,Inter,10
f22,Joshua Acheampong,DF,18,eng ENG,Chelsea,2
f23,Akor Adams,FW,25,ng NGA,Sevilla,1
f24,Akor Adams,FW,25,ng NGA,Montpellier,15
f25,Che Adams,FW,28,sct SCO,Torino,24
f26,Tyler Adams,MF,26,us USA,Bournemouth,14
f27,Junior Adamu,FW,23,at AUT,Freiburg,16
f28,Tosin Adarabioyo,DF,27,eng ENG,Chelsea,12
f29,Martin Adeline,MF,21,fr FRA,Reims,1
f30,Karim Adeyemi,"FW,MF",23,de GER,Dortmund,12
f31,Simon Adingra,"FW,MF",23,ci CIV,Brighton,17
f32,Amine Adli,MF,24,ma MAR,Leverkusen,7
f33,Yacine Adli,MF,24,fr FRA,Fiorentina,20
f34,Adrián,GK,38,es ESP,Betis,4
f35,Adryelson,DF,26,br BRA,Lyon,1
f36,Vasilije Adžić,"MF,FW",18,me MNE,Juventus,3
f37,Michel Aebischer,MF,28,ch SUI,Bologna,8
f38,Oladapo Afolayan,"FW,MF",27,eng ENG,St. Pauli,20
f39,Emmanuel Agbadou,DF,27,ci CIV,Wolves,4
f40,Emmanuel Agbadou,DF,27,ci CIV,Reims,14
f41,Asher Agbinone,MF,19,eng ENG,Crystal Palace,2
f42,Jeremy Agbonifo,"FW,MF",19,se SWE,Lens,2
f43,Julen Agirrezabala,GK,24,es ESP,Athletic Club,14
f44,Lucien Agoume,MF,23,fr FRA,Sevilla,21
f45,Felix Agu,DF,25,de GER,Werder Bremen,10
f46,Álvaro Aguado,MF,28,es ESP,Espanyol,11
f47,Lorenzo Aguado,DF,22,es ESP,Real Madrid,2
f48,Nayef Aguerd,DF,28,ma MAR,Real Sociedad,17
f49,Ruben Aguilar,DF,31,fr FRA,Lens,6
f50,Naouirou Ahamada,"MF,FW",22,fr FRA,Rennes,2
f51,Honest Ahanor,DF,16,it ITA,Genoa,2
f52,Erik Ahlstrand,"FW,MF",23,se SWE,St. Pauli,5
f53,Jean-Eudes Aholou,MF,30,ci CIV,Angers,20
f54,Joseph Aidoo,DF,29,gh GHA,Valladolid,1
f55,Joseph Aidoo,DF,29,gh GHA,Celta Vigo,1
f56,Ayman Aiki,"FW,MF",19,fr FRA,Saint-Étienne,5
f57,Ola Aina,DF,28,ng NGA,Nott'ham Forest,24
f58,Rayan Aït-Nouri,DF,23,dz ALG,Wolves,23
f59,Junior Ajayi,FW,20,ci CIV,Hellas Verona,1
f60,Kristoffer Ajer,DF,26,no NOR,Brentford,11
f61,Ludovic Ajorque,FW,30,fr FRA,Brest,20
f62,Manuel Akanji,DF,29,ch SUI,Manchester City,20
f63,Ümit Akdag,DF,21,ro ROU,Toulouse,5
f64,Nathan Aké,DF,29,nl NED,Manchester City,9
f65,Ilias Akhomach,"MF,FW",20,ma MAR,Villarreal,11
f66,Sergio Akieme,DF,27,es ESP,Reims,18
f67,Maghnes Akliouche,"FW,MF",22,fr FRA,Monaco,19
f68,Clément Akpa,DF,23,ci CIV,Auxerre,20
f69,Jean-Daniel Akpa-Akpro,"MF,DF",32,ci CIV,Monza,4
f70,David Akpan Ankeye,"FW,MF",23,ng NGA,Genoa,4
f71,Kevin Akpoguma,DF,29,ng NGA,Hoffenheim,20
f72,Chuba Akpom,FW,29,eng ENG,Lille,1
f73,David Alaba,DF,32,at AUT,Real Madrid,2
f74,Andreas Albers,FW,34,dk DEN,St. Pauli,13
f75,Raúl Albiol,DF,39,es ESP,Villarreal,15
f76,Carlos Alcaraz,MF,22,ar ARG,Southampton,1
f77,Carlos Alcaraz,"MF,FW",22,ar ARG,Everton,1
f78,Omar Alderete,DF,28,py PAR,Getafe,22
f79,Carles Aleñá,"MF,FW",27,es ESP,Getafe,10
f80,Trent Alexander-Arnold,DF,26,eng ENG,Liverpool,23
f81,Alfon,"FW,MF",25,es ESP,Celta Vigo,14
f82,Mohamed Ali Cho,"FW,MF",21,fr FRA,Nice,17
f83,Faride Alidou,"FW,MF",23,de GER,Hellas Verona,3
f84,Alisson,GK,32,br BRA,Liverpool,16
f85,Tadeo Allende,FW,25,ar ARG,Celta Vigo,1
f86,Jim Allevinah,FW,29,ga GAB,Angers,17
f87,Thiago Almada,"FW,MF",23,ar ARG,Lyon,3
f88,Domingos André Ribeiro Almeida,"MF,FW",24,pt POR,Valencia,20
f89,Iker Almena,"FW,DF",20,es ESP,Girona,2
f90,Miguel Almirón,FW,31,py PAR,Newcastle Utd,9
f91,Pontus Almqvist,"FW,MF",25,se SWE,Parma,21
f92,Marcos Alonso,DF,34,es ESP,Celta Vigo,17
f93,Giorgio Altare,DF,26,it ITA,Venezia,12
f94,Adrià Altimira,"DF,FW",23,es ESP,Leganés,14
f95,Sergi Altimira,MF,23,es ESP,Betis,20
f96,Edson Álvarez,MF,27,mx MEX,West Ham,19
f97,Hugo Álvarez,"MF,DF",21,es ESP,Celta Vigo,22
f98,Julián Álvarez,"FW,MF",25,ar ARG,Atlético Madrid,23
f99,Yeray Álvarez,DF,30,es ESP,Athletic Club,13
f100,Skelly Alvero,MF,22,fr FRA,Werder Bremen,12
f101,Will Alves,FW,20,eng ENG,Leicester City,1
f102,Selim Amallah,"MF,FW",28,ma MAR,Valladolid,15
f103,Amath,"FW,DF",28,sn SEN,Valladolid,9
f104,Jordan Amavi,DF,30,fr FRA,Brest,11
f105,Aurele Amenda,DF,21,ch SUI,Eint Frankfurt,4
f106,Kelvin Amian,"DF,MF",27,fr FRA,Nantes,18
f107,Michael Amir Murillo,DF,29,pa PAN,Marseille,20
f108,Nadiem Amiri,MF,28,de GER,Mainz 05,18
f109,Samuel Amo-Ameyaw,"FW,DF",18,eng ENG,Southampton,2
f110,Mathis Amougou,MF,19,fr FRA,Saint-Étienne,17
f111,Mohamed Amoura,FW,24,dz ALG,Wolfsburg,19
f112,Sofyan Amrabat,MF,28,ma MAR,Fiorentina,2
f113,Joachim Andersen,DF,28,dk DEN,Crystal Palace,1
f114,Joachim Andersen,DF,28,dk DEN,Fulham,15
f115,Elliot Anderson,MF,22,eng ENG,Nott'ham Forest,23
f116,André,MF,23,br BRA,Wolves,19
f117,Benjamin André,MF,34,fr FRA,Lille,18
f118,Marcos André,FW,28,br BRA,Valladolid,16
f119,Robert Andrich,MF,30,de GER,Leverkusen,16
f120,Angeliño,DF,28,es ESP,Roma,24
f121,Lorenzo Anghelè,FW,19,it ITA,Juventus,1
f122,Faustino Anjorin,MF,23,eng ENG,Empoli,17
